utc,err_arcsec,err_arcmin,sun_moon_elong_deg,moon_dist_au
2068-02-03 10:52,3.21256,0.05354,358.29,0.002394
2068-02-03 11:03,3.20829,0.05347,358.41,0.002394
2068-02-03 11:15,3.20389,0.05340,358.52,0.002394
2068-02-03 11:26,3.19936,0.05332,358.63,0.002394
2068-02-03 11:38,3.19469,0.05324,358.75,0.002394
2068-02-03 11:50,3.18989,0.05316,358.86,0.002394
2068-02-03 12:02,3.18494,0.05308,358.98,0.002394
2021-12-05 04:54,3.18176,0.05303,12.56,0.002389
2021-12-05 04:43,3.18173,0.05303,12.45,0.002389
2021-12-05 05:05,3.18171,0.05303,12.67,0.002389
2021-12-05 04:32,3.18164,0.05303,12.34,0.002389
2021-12-05 05:16,3.18161,0.05303,12.78,0.002389
2021-12-05 04:21,3.18149,0.05302,12.23,0.002389
2021-12-05 05:27,3.18144,0.05302,12.88,0.002389
2021-12-05 04:09,3.18126,0.05302,12.12,0.002389
2021-12-05 05:38,3.18122,0.05302,12.99,0.002390
2021-12-05 03:58,3.18096,0.05302,12.00,0.002389
2021-12-05 05:48,3.18093,0.05302,13.09,0.002390
2021-12-05 05:59,3.18059,0.05301,13.20,0.002390
2021-12-05 03:46,3.18058,0.05301,11.89,0.002389
2021-12-05 06:09,3.18019,0.05300,13.30,0.002390
2021-12-05 03:34,3.18013,0.05300,11.77,0.002389
2068-02-03 12:14,3.17984,0.05300,359.10,0.002394
2021-12-05 06:20,3.17974,0.05300,13.40,0.002390
2021-12-05 03:22,3.17960,0.05299,11.65,0.002389
2021-12-05 06:30,3.17923,0.05299,13.50,0.002390
2021-12-05 03:10,3.17898,0.05298,11.53,0.002388
2021-12-05 06:40,3.17868,0.05298,13.60,0.002390
2021-12-05 03:09,3.17832,0.05297,11.52,0.002388
2021-12-05 06:50,3.17807,0.05297,13.70,0.002390
2021-12-05 07:00,3.17741,0.05296,13.80,0.002390
2021-12-05 07:10,3.17671,0.05295,13.90,0.002390
2021-12-05 07:20,3.17595,0.05293,14.00,0.002390
2021-12-05 07:30,3.17515,0.05292,14.09,0.002390
2068-02-03 12:26,3.17459,0.05291,359.22,0.002393
2021-12-05 07:39,3.17431,0.05291,14.19,0.002391
2021-12-05 07:49,3.17342,0.05289,14.28,0.002391
2021-12-05 07:59,3.17249,0.05287,14.38,0.002391
2021-12-05 08:08,3.17151,0.05286,14.47,0.002391
2021-12-05 08:18,3.17049,0.05284,14.56,0.002391
2021-12-05 08:27,3.16943,0.05282,14.66,0.002391
2068-02-03 12:38,3.16918,0.05282,359.34,0.002393
2021-12-05 08:36,3.16833,0.05281,14.75,0.002391
2021-12-05 08:46,3.16720,0.05279,14.84,0.002391
2021-12-05 08:55,3.16602,0.05277,14.93,0.002391
2021-12-05 09:04,3.16480,0.05275,15.02,0.002391
2068-02-03 12:51,3.16360,0.05273,359.47,0.002393
2021-12-05 09:13,3.16355,0.05273,15.11,0.002391
2021-12-05 09:22,3.16226,0.05270,15.20,0.002391
2021-12-05 09:31,3.16093,0.05268,15.29,0.002391
2021-12-05 09:40,3.15957,0.05266,15.37,0.002392
2021-12-05 09:49,3.15817,0.05264,15.46,0.002392
2068-02-03 13:03,3.15786,0.05263,359.59,0.002393
2021-12-05 09:58,3.15674,0.05261,15.55,0.002392
2021-12-05 10:06,3.15528,0.05259,15.63,0.002392
2021-12-05 10:15,3.15378,0.05256,15.72,0.002392
2021-12-05 10:24,3.15225,0.05254,15.81,0.002392
2068-02-03 13:16,3.15194,0.05253,359.72,0.002393
2021-12-05 10:32,3.15069,0.05251,15.89,0.002392
2021-12-05 10:41,3.14910,0.05248,15.97,0.002392
2021-12-05 10:50,3.14747,0.05246,16.06,0.002392
2068-02-03 13:29,3.14583,0.05243,359.85,0.002393
2021-12-05 10:58,3.14582,0.05243,16.14,0.002392
2021-12-05 11:06,3.14414,0.05240,16.22,0.002392
2021-12-05 11:15,3.14242,0.05237,16.31,0.002392
2021-12-05 11:23,3.14068,0.05234,16.39,0.002393
2068-02-03 13:42,3.13954,0.05233,359.98,0.002393
2021-12-05 11:31,3.13891,0.05232,16.47,0.002393
2021-12-05 11:40,3.13711,0.05229,16.55,0.002393
2021-12-05 11:48,3.13528,0.05225,16.63,0.002393
2021-12-05 11:56,3.13343,0.05222,16.71,0.002393
2068-02-03 13:56,3.13305,0.05222,0.11,0.002393
2021-12-05 12:04,3.13154,0.05219,16.79,0.002393
2021-12-05 12:12,3.12964,0.05216,16.87,0.002393
2021-12-05 12:20,3.12770,0.05213,16.95,0.002393
2068-02-03 14:09,3.12636,0.05211,0.24,0.002393
2021-12-05 12:28,3.12574,0.05210,17.03,0.002393
2021-12-05 12:36,3.12376,0.05206,17.11,0.002393
2021-12-05 12:44,3.12175,0.05203,17.19,0.002393
2021-12-05 12:52,3.11971,0.05200,17.26,0.002393
2068-02-03 14:23,3.11945,0.05199,0.38,0.002393
2021-12-05 13:00,3.11765,0.05196,17.34,0.002394
2021-12-05 13:08,3.11557,0.05193,17.42,0.002394
2021-12-05 13:16,3.11346,0.05189,17.49,0.002394
2068-02-03 14:37,3.11233,0.05187,0.51,0.002393
2021-12-05 13:23,3.11133,0.05186,17.57,0.002394
2021-12-05 13:31,3.10918,0.05182,17.65,0.002394
